Clube;Estado;PG;Ano
Cruzeiro ;MG;100;2003
Santos ;SP;87;2003
São Paulo ;SP;78;2003
São Caetano ;SP;74;2003
Coritiba ;PR;73;2003
Internacional ;RS;72;2003
Atlético ;MG;72;2003
Flamengo ;RJ;66;2003
Goiás ;GO;65;2003
Paraná ;PR;65;2003
Figueirense ;SC;65;2003
Atlético ;PR;61;2003
Guarani ;SP;61;2003
Criciúma ;SC;60;2003
Corinthians ;SP;59;2003
Vitória ;BA;56;2003
Vasco ;RJ;54;2003
Juventude ;RS;53;2003
Fluminense ;RJ;52;2003
Grêmio ;RS;50;2003
Ponte Preta ;SP;50;2003
Paysandu ;PA;49;2003
Fortaleza ;CE;49;2003
Bahia ;BA;46;2003
Santos ;SP;89;2004
Atlético ;PR;86;2004
São Paulo ;SP;82;2004
Palmeiras ;SP;79;2004
Corinthians ;SP;74;2004
Goiás ;GO;72;2004
Juventude ;RS;70;2004
Internacional ;RS;67;2004
Fluminense ;RJ;67;2004
Ponte Preta ;SP;64;2004
Figueirense ;SC;63;2004
Coritiba ;PR;62;2004
Cruzeiro ;MG;56;2004
Paysandu ;PA;56;2004
Paraná ;PR;54;2004
Vasco ;RJ;54;2004
Flamengo ;RJ;54;2004
São Caetano ;SP;53;2004
Atlético ;MG;53;2004
Botafogo ;RJ;51;2004
Criciúma ;SC;50;2004
Guarani ;SP;49;2004
Vitória ;BA;48;2004
Grêmio ;RS;39;2004
Corinthians ;SP;81;2005
Internacional ;RS;78;2005
Goiás ;GO;74;2005
Palmeiras ;SP;70;2005
Fluminense ;RJ;68;2005
Atlético ;PR;61;2005
Paraná ;PR;61;2005
Cruzeiro ;MG;60;2005
Botafogo ;RJ;59;2005
Santos ;SP;59;2005
São Paulo ;SP;58;2005
Vasco ;RJ;56;2005
Fortaleza ;CE;55;2005
Juventude ;RS;55;2005
Flamengo ;RJ;55;2005
Figueirense ;SC;53;2005
São Caetano ;SP;52;2005
Ponte Preta ;SP;51;2005
Coritiba ;PR;49;2005
Atlético ;MG;47;2005
Paysandu ;PA;41;2005
Brasiliense ;DF;41;2005
São Paulo ;SP;78;2006
Internacional ;RS;69;2006
Grêmio ;RS;67;2006
Santos ;SP;64;2006
Paraná ;PR;60;2006
Vasco ;RJ;59;2006
Figueirense ;SC;57;2006
Goiás ;GO;55;2006
Corinthians ;SP;53;2006
Cruzeiro ;MG;53;2006
Flamengo ;RJ;52;2006
Botafogo ;RJ;51;2006
Atlético ;PR;48;2006
Juventude ;RS;47;2006
Fluminense ;RJ;45;2006
Palmeiras ;SP;44;2006
Ponte Preta ;SP;39;2006
Fortaleza ;CE;38;2006
São Caetano ;SP;36;2006
Santa Cruz ;PE;28;2006
São Paulo ;SP;77;2007
Santos ;SP;62;2007
Flamengo ;RJ;61;2007
Fluminense ;RJ;61;2007
Cruzeiro ;MG;60;2007
Grêmio ;RS;58;2007
Palmeiras ;SP;58;2007
Atlético ;MG;55;2007
Botafogo ;RJ;55;2007
Vasco ;RJ;54;2007
Internacional ;RS;54;2007
Atlético ;PR;54;2007
Figueirense ;SC;53;2007
Sport ;PE;51;2007
Náutico ;PE;49;2007
Goiás ;GO;45;2007
Corinthians ;SP;44;2007
Juventude ;RS;41;2007
Paraná ;PR;41;2007
América ;RN;17;2007
São Paulo ;SP;75;2008
Grêmio ;RS;72;2008
Cruzeiro ;MG;67;2008
Palmeiras ;SP;65;2008
Flamengo ;RJ;64;2008
Internacional ;RS;54;2008
Botafogo ;RJ;53;2008
Goiás ;GO;53;2008
Coritiba ;PR;53;2008
Vitória ;BA;52;2008
Sport ;PE;52;2008
Atlético ;MG;48;2008
Atlético ;PR;45;2008
Fluminense ;RJ;45;2008
Santos ;SP;45;2008
Náutico ;PE;44;2008
Figueirense ;SC;44;2008
Vasco ;RJ;40;2008
Portuguesa ;SP;38;2008
Ipatinga ;MG;35;2008
Flamengo ;RJ;67;2009
Internacional ;RS;65;2009
São Paulo ;SP;65;2009
Cruzeiro ;MG;62;2009
Palmeiras ;SP;62;2009
Avaí ;SC;57;2009
Atlético ;MG;56;2009
Grêmio ;RS;55;2009
Goiás ;GO;55;2009
Corinthians ;SP;52;2009
Barueri ;SP;49;2009
Santos ;SP;49;2009
Vitória ;BA;48;2009
Atlético ;PR;48;2009
Botafogo ;RJ;47;2009
Fluminense ;RJ;46;2009
Coritiba ;PR;45;2009
Santo André ;SP;41;2009
Náutico ;PE;38;2009
Sport ;PE;31;2009
Fluminense ;RJ;71;2010
Cruzeiro ;MG;69;2010
Corinthians ;SP;68;2010
Grêmio ;RS;63;2010
Atlético ;PR;60;2010
Botafogo ;RJ;59;2010
Internacional ;RS;58;2010
Santos ;SP;56;2010
São Paulo ;SP;55;2010
Palmeiras ;SP;50;2010
Vasco ;RJ;49;2010
Ceará ;CE;47;2010
Atlético ;MG;45;2010
Flamengo ;RJ;44;2010
Avaí ;SC;43;2010
Atlético ;GO;42;2010
Vitória ;BA;42;2010
Guarani ;SP;37;2010
Goiás ;GO;33;2010
Grêmio Prudente ;SP;28;2010
Corinthians ;SP;71;2011
Vasco ;RJ;69;2011
Fluminense ;RJ;63;2011
Flamengo ;RJ;61;2011
Internacional ;RS;60;2011
São Paulo ;SP;59;2011
Figueirense ;SC;58;2011
Coritiba ;PR;57;2011
Botafogo ;RJ;56;2011
Santos ;SP;53;2011
Palmeiras ;SP;50;2011
Grêmio ;RS;48;2011
Atlético ;GO;48;2011
Bahia ;BA;46;2011
Atlético ;MG;45;2011
Cruzeiro ;MG;43;2011
Atlético ;PR;41;2011
Ceará ;CE;39;2011
América ;MG;37;2011
Avaí ;SC;31;2011
Fluminense ;RJ;77;2012
Atlético ;MG;72;2012
Grêmio ;RS;71;2012
São Paulo ;SP;66;2012
Vasco ;RJ;58;2012
Corinthians ;SP;57;2012
Botafogo ;RJ;55;2012
Santos ;SP;53;2012
Cruzeiro ;MG;52;2012
Internacional ;RS;52;2012
Flamengo ;RJ;50;2012
Náutico ;PE;49;2012
Coritiba ;PR;48;2012
Ponte Preta ;SP;48;2012
Bahia ;BA;47;2012
Portuguesa ;SP;45;2012
Sport ;PE;41;2012
Palmeiras ;SP;34;2012
Atlético ;GO;30;2012
Figueirense ;SC;30;2012
Cruzeiro ;MG;76;2013
Grêmio ;RS;65;2013
Atlético ;PR;64;2013
Botafogo ;RJ;61;2013
Vitória ;BA;59;2013
Goiás ;GO;59;2013
Santos ;SP;57;2013
Atlético ;MG;57;2013
São Paulo ;SP;50;2013
Corinthians ;SP;50;2013
Coritiba ;PR;48;2013
Bahia ;BA;48;2013
Internacional ;RS;48;2013
Criciúma ;SC;46;2013
Fluminense ;RJ;46;2013
Flamengo ;RJ;45;2013
Portuguesa ;SP;44;2013
Vasco ;RJ;44;2013
Ponte Preta ;SP;37;2013
Náutico ;PE;20;2013
CRUZEIRO ;MG;80;2014
SÃO PAULO ;SP;70;2014
INTERNACIONAL ;RS;69;2014
CORINTHIANS ;SP;69;2014
ATLÉTICO ;MG;62;2014
FLUMINENSE ;RJ;61;2014
GRÊMIO ;RS;61;2014
ATLÉTICO ;PR;54;2014
SANTOS ;SP;53;2014
FLAMENGO ;RJ;52;2014
SPORT ;PE;52;2014
GOIÁS ;GO;47;2014
FIGUEIRENSE ;SC;47;2014
CORITIBA ;PR;47;2014
CHAPECOENSE ;SC;43;2014
PALMEIRAS ;SP;40;2014
VITÓRIA ;BA;39;2014
BAHIA ;BA;37;2014
BOTAFOGO ;RJ;34;2014
CRICIÚMA ;SC;32;2014
CORINTHIANS ;SP;81;2015
ATLÉTICO ;MG;69;2015
GRÊMIO ;RS;68;2015
SÃO PAULO ;SP;62;2015
INTERNACIONAL ;RS;60;2015
SPORT ;PE;59;2015
SANTOS ;SP;58;2015
CRUZEIRO ;MG;55;2015
PALMEIRAS ;SP;53;2015
ATLÉTICO ;PR;51;2015
PONTE PRETA ;SP;51;2015
FLAMENGO ;RJ;49;2015
FLUMINENSE ;RJ;47;2015
CHAPECOENSE ;SC;47;2015
CORITIBA ;PR;44;2015
FIGUEIRENSE ;SC;43;2015
AVAÍ ;SC;42;2015
VASCO ;RJ;41;2015
GOIÁS ;GO;38;2015
JOINVILLE ;SC;31;2015
PALMEIRAS ;SP;80;2016
SANTOS ;SP;71;2016
FLAMENGO ;RJ;71;2016
ATLÉTICO ;MG;62;2016
BOTAFOGO ;RJ;59;2016
ATLÉTICO ;PR;57;2016
CORINTHIANS ;SP;55;2016
PONTE PRETA ;SP;53;2016
GRÊMIO ;RS;53;2016
SÃO PAULO ;SP;52;2016
CHAPECOENSE ;SC;52;2016
CRUZEIRO ;MG;51;2016
FLUMINENSE ;RJ;50;2016
SPORT ;PE;47;2016
CORITIBA ;PR;46;2016
VITÓRIA ;BA;45;2016
INTERNACIONAL ;RS;43;2016
FIGUEIRENSE ;SC;37;2016
SANTA CRUZ ;PE;31;2016
AMÉRICA ;MG;28;2016
